case_id,enabled,pki_chain_id,pki_kind,root_sig_alg,intermediate_sig_alg,leaf_sig_alg,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
ecdhe_p_256__homogeneous_ecdsa_p_256,1,homogeneous_ecdsa_p_256,homogeneous,ECDSA-P-256,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,5,0,required,
ecdhe_p_256__homogeneous_ml_dsa_44,1,homogeneous_ml_dsa_44,homogeneous,ML-DSA-44,ML-DSA-44,ML-DSA-44,ECDHE-P-256,classic,1,65,65,32,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,5,0,required,
ecdhe_p_256__homogeneous_ecdsa_p_384,1,homogeneous_ecdsa_p_384,homogeneous,ECDSA-P-384,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,5,0,required,
ecdhe_p_256__homogeneous_ml_dsa_65,1,homogeneous_ml_dsa_65,homogeneous,ML-DSA-65,ML-DSA-65,ML-DSA-65,ECDHE-P-256,classic,1,65,65,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,5,0,required,
ecdhe_p_256__homogeneous_ecdsa_p_521,1,homogeneous_ecdsa_p_521,homogeneous,ECDSA-P-521,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__homogeneous_ml_dsa_87,1,homogeneous_ml_dsa_87,homogeneous,ML-DSA-87,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_128s__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128s__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128s,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_128s__leaf_ml_dsa_44,1,root_slh_dsa_shake_128s__leaf_ml_dsa_44,heavy_root,SLH-DSA-SHAKE-128s,ML-DSA-44,ML-DSA-44,ECDHE-P-256,classic,1,65,65,32,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_128f__leaf_ecdsa_p_256,1,root_slh_dsa_shake_128f__leaf_ecdsa_p_256,heavy_root,SLH-DSA-SHAKE-128f,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_128f__leaf_ml_dsa_44,1,root_slh_dsa_shake_128f__leaf_ml_dsa_44,heavy_root,SLH-DSA-SHAKE-128f,ML-DSA-44,ML-DSA-44,ECDHE-P-256,classic,1,65,65,32,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,5,0,required,
ecdhe_p_256__root_rsa_pss_3072__leaf_ecdsa_p_256,1,root_rsa_pss_3072__leaf_ecdsa_p_256,heavy_root,RSA-PSS-3072,ECDSA-P-256,ECDSA-P-256,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ecdsa_secp256r1_sha256,5,0,required,
ecdhe_p_256__root_rsa_pss_3072__leaf_ml_dsa_44,1,root_rsa_pss_3072__leaf_ml_dsa_44,heavy_root,RSA-PSS-3072,ML-DSA-44,ML-DSA-44,ECDHE-P-256,classic,1,65,65,32,ML-DSA-44,pqc,2,1312,2560,2420,mldsa44,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_192s__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192s__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192s,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_192s__leaf_ml_dsa_65,1,root_slh_dsa_shake_192s__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192s,ML-DSA-65,ML-DSA-65,ECDHE-P-256,classic,1,65,65,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_192f__leaf_ecdsa_p_384,1,root_slh_dsa_shake_192f__leaf_ecdsa_p_384,heavy_root,SLH-DSA-SHAKE-192f,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_192f__leaf_ml_dsa_65,1,root_slh_dsa_shake_192f__leaf_ml_dsa_65,heavy_root,SLH-DSA-SHAKE-192f,ML-DSA-65,ML-DSA-65,ECDHE-P-256,classic,1,65,65,32,ML-DSA-65,pqc,3,1952,4032,3309,mldsa65,5,0,required,
ecdhe_p_256__root_rsa_pss_7680__leaf_ecdsa_p_384,1,root_rsa_pss_7680__leaf_ecdsa_p_384,heavy_root,RSA-PSS-7680,ECDSA-P-384,ECDSA-P-384,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ecdsa_secp384r1_sha384,5,0,required,
